sample_type,study,transit,swab_type,filter_type,location,boat,old_fastq_name,read,is.duplicated,sample.names
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box8-10,R1,not_duplicate,Box8-10
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box8-9,R1,not_duplicate,Box8-9
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box8-38,R1,not_duplicate,Box8-38
boat,ChesapeakeBay,four,bilgebiofilm,nonfilter,Norfolk,Lookdown,Box10-14,R1,not_duplicate,Box10-14
boat,ChesapeakeBay,four,bilgewater,nonfilter,Norfolk,Lookdown,Box10-13,R1,not_duplicate,Box10-13
boat,ChesapeakeBay,four,hull,nonfilter,Norfolk,Lookdown,Box10-15,R1,not_duplicate,Box10-15
openwater,ChesapeakeBay,four,nonswab,post,Norfolk,Lookdown,Box10-44,R1,not_duplicate,Box10-44
openwater,ChesapeakeBay,four,nonswab,pre,Norfolk,Lookdown,Box10-43,R1,not_duplicate,Box10-43
boat,ChesapeakeBay,four,rear,nonfilter,Norfolk,Lookdown,Box10-16,R1,not_duplicate,Box10-16
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box1-19x,R1,not_duplicate,Box1-19x
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box1-20x,R1,not_duplicate,Box1-20x
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box1-13x,R1,not_duplicate,Box1-13x
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box1-7,R1,not_duplicate,Box1-7
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box1-5,R1,not_duplicate,Box1-5
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box1-3x,R1,not_duplicate,Box1-3x
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box6-18,R1,not_duplicate,Box6-18
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box6-17,R1,not_duplicate,Box6-17
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box6-19,R1,not_duplicate,Box6-19
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box6-2,R1,not_duplicate,Box6-2
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box6-1,R1,not_duplicate,Box6-1
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box6-20,R1,not_duplicate,Box6-20
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box3-36,R1,not_duplicate,Box3-36
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box3-35,R1,not_duplicate,Box3-35
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box3-37,R1,not_duplicate,Box3-37
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box3-8,R1,not_duplicate,Box3-8
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box3-7,R1,not_duplicate,Box3-7
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box3-38,R1,not_duplicate,Box3-38
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box8-40,R1,not_duplicate,Box8-40
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box8-39,R1,not_duplicate,Box8-39
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box8-41,R1,not_duplicate,Box8-41
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box8-12,R1,not_duplicate,Box8-12
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box8-11,R1,not_duplicate,Box8-11
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box8-42,R1,not_duplicate,Box8-42
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box3-40,R1,not_duplicate,Box3-40
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box3-39,R1,not_duplicate,Box3-39
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box3-41,R1,not_duplicate,Box3-41
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box3-10,R1,not_duplicate,Box3-10
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box3-9,R1,not_duplicate,Box3-9
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box3-42,R1,not_duplicate,Box3-42
boat,ChesapeakeBay,two,bilgebiofilm,nonfilter,Norfolk,Callinectes,Box4-36,R1,not_duplicate,Box4-36
boat,ChesapeakeBay,two,bilgewater,nonfilter,Norfolk,Callinectes,Box4-35,R1,not_duplicate,Box4-35
boat,ChesapeakeBay,two,hull,nonfilter,Norfolk,Callinectes,Box4-37,R1,not_duplicate,Box4-37
openwater,ChesapeakeBay,two,nonswab,post,Norfolk,Callinectes,Box4-12,R1,not_duplicate,Box4-12
openwater,ChesapeakeBay,two,nonswab,pre,Norfolk,Callinectes,Box4-11,R1,not_duplicate,Box4-11
boat,ChesapeakeBay,two,rear,nonfilter,Norfolk,Callinectes,Box4-38,R1,not_duplicate,Box4-38
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box8-44,R1,not_duplicate,Box8-44
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box8-43,R1,not_duplicate,Box8-43
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box8-45,R1,not_duplicate,Box8-45
